座號	平時成績	期中考成績	期末考成績
1	61.00	87.00	54.00
2	20.00	89.00	44.00
3	98.00	78.00	82.00
4	84.00	25.00	65.00
5	101.00	47.00	81.00
6	111.00	115.00	62.00
7	47.00	56.00	111.00
8	24.00	22.00	73.00
9	112.00	102.00	41.00
10	36.00	38.00	115.00
11	67.00	46.00	91.00
12	58.00	89.00	32.00
13	87.00	119.00	55.00
14	114.00	23.00	31.00
15	42.00	53.00	93.00
16	84.00	61.00	31.00
17	73.00	88.00	67.00
18	64.00	82.00	77.00
19	57.00	79.00	43.00
20	61.00	49.00	98.00
21	36.00	55.00	110.00
22	62.00	108.00	26.00
23	60.00	62.00	84.00
24	68.00	66.00	25.00
25	110.00	49.00	90.00
26	70.00	26.00	21.00
27	113.00	68.00	49.00
28	43.00	104.00	74.00
29	76.00	60.00	86.00
30	96.00	51.00	28.00
31	64.00	59.00	46.00
32	43.00	57.00	58.00
33	38.00	102.00	49.00
34	61.00	53.00	35.00
35	59.00	78.00	24.00
36	50.00	97.00	26.00
37	93.00	106.00	41.00
38	65.00	44.00	92.00
39	90.00	49.00	97.00
40	93.00	117.00	32.00
41	106.00	110.00	81.00
42	56.00	75.00	87.00
43	75.00	94.00	51.00
44	72.00	70.00	70.00
45	61.00	44.00	86.00
46	50.00	27.00	111.00
47	27.00	57.00	77.00
48	107.00	73.00	103.00
49	65.00	29.00	29.00
50	78.00	41.00	108.00
